Sentence,Original emoji,output emoji
Back to square one. We need Werner to fckin score man.,[':fire:'], 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
YOU CHAT TOO MUCH,"[':speech_balloon:', ':pouting_face:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
some people are disgusting,"[':man:', ':face_vomiting:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I JUST TELL IT LIKE IT IS,"[':grinning_face_with_smiling_eyes:', ':person_facepalming:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
will magnesium citrate make u bloat like laxatives?,"[':thinking_face:', ':face_with_tears_of_joy:']", 😍 😴 👉 👉 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Fuck the democrat secret police. Defund the FBI NOW!,[':pouting_face:'], 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Time dose not change people, time reveals the real face of people . 🤷🏻‍♀️","[':alarm_clock:', ':cross_mark:', ':man:', ':man:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
the way all these festivals are going to spread the variant at super speed,"[':party_popper:', ':person_running:']", 😍 😴 👉 👉 👋 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴
Gift of life,"[':party_popper:', ':grinning_face_with_smiling_eyes:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Ooh what should I wear”-me, the person spending the entirety of the day in their house doing chores and making food","[':necktie:', ':thinking_face:', ':house:', ':cooking:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
english song 👀👀,[':musical_note:'], 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Lowkey 🎶,[':musical_note:'], 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Don’t screw with me. \nI will cry.,"[':pouting_face:', ':crying_face:']", 🌞 😴 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞
Old people be so funny on Facebook. They really don’t belong on there to begin with 😩🤣.,"[':face_with_tears_of_joy:', ':person_facepalming:']", 😍 😴 🌞 🌞 😴 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Everything is coming to the light omgggg,"[':face_with_tears_of_joy:', ':grinning_face_with_smiling_eyes:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
It seems we both refuse to die!,"[':grinning_face_with_smiling_eyes:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
THIS WAS ME WITH DEMON SLAYER HAHAHA,"[':ghost:', ':grinning_face_with_smiling_eyes:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I don't know why I have the ticket of my first Daewoo ride still in my wallet,"[':thinking_face:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
how you a grown ass man and bike? grow up,"[':pouting_face:', ':thinking_face:']", 😍 😴 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
The last time you had subway,"[':face_vomiting:', ':alarm_clock:', ':cooking:']", 😍 😴 😍 😴 🥰 😴 🥰 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Yuhuuu cant wait❣️,"[':grinning_face_with_smiling_eyes:', ':smiling_face_with_hearts:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
it's so hot that not even watermelon can refresh me,"[':fire:', ':sun_with_face:', ':sweat_droplets:']", 😍 😴 🌞 😴 👋 😴 😴 👋 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴
I was coming up with a story concept the other day and now I'm realizing it's literally just Sonny Boy,"[':thinking_face:', ':calendar:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I cried and i look like shit,"[':crying_face:', ':persevering_face:', ':backhand_index_pointing_right:', ':pile_of_poo:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
OMG TBERE ARE FIDGET SPINNERS AT SEVEN ELEVEN WHO WANT OME!?????,"[':smiling_face_with_heart-eyes:', ':thinking_face:']", 😍 😴 🌞 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
im so ia these few days😭,"[':crying_face:', ':persevering_face:']", 😍 😴 👉 👉 👋 👉 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋 👋
I’m done arguing with blackhawks fans who want Seth Jones to suck. That is my promise to you all,"[':pouting_face:', ':thumbs_down:']", 😍 😴 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Always a fan from ‘Cuse time. So smooth!,"[':smiling_face_with_hearts:', ':thumbs_up:']", 😍 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Shit ain’t sweet I’m not showing no love .fuck on,"[':pile_of_poo:', ':pouting_face:', ':waving_hand:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Amazing Firework mishap  8 am in Max and Erma's. Sydney Brannon reporting for Stock Market station.,"[':party_popper:', ':alarm_clock:', ':church:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Meow!,[':dog_face:'], 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
whole tl fighting,[':fire:'], 😍 🙏 👉 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Arsenal make me sick,"[':face_vomiting:', ':syringe:', ':face_with_medical_mask:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Being hungover ain’t it bro 😐,"[':crying_face:', ':persevering_face:']", 😍 😴 😴 👉 💬 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I have anxiety at my parents house and that’s okay. They remind me of dreams they had for me,"[':persevering_face:', ':man:', ':woman:', ':boy:', ':house:', ':thinking_face:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
the loafers …. i need them,[':folded_hands:'], 😍 😴 😍 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Hey go touch butts with a putride fetus Bella Medina!,[':face_with_tears_of_joy:'], 😍 😴 🌞 🌞 🌞 😴 😴 👋 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴
Don’t shoot.,"[':cross_mark:', ':folded_hands:']", 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I need this skin too,"[':face_with_tears_of_joy:', ':fire:', ':folded_hands:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
can’t expect honesty from someone who can’t even b honest w themselvesssss,"[':face_vomiting:', ':pouting_face:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Went to the field hockey finals in Montreal. Full of India fans. But India didn’t make it.,"[':person_running:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
She got sooooo mad at me while I was putting the flamingo costume on her. Then she seemed pleasantly intrigued while wearing it.,"[':woman:', ':pouting_face:', ':face_with_tears_of_joy:', ':woman:', ':grinning_face_with_smiling_eyes:']", 😍 😴 🌞 👋 👋 😴 👋 😴 😴 👋 😴 😴 👋 😴 👋 😴 👋 😴 👋
twitter really allow niggas to convince themselves they smart . i miss real life,"[':mobile_phone:', ':speech_balloon:', ':face_with_tears_of_joy:']", 😍 🌞 😍 😴 😴 👉 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I don’t do the drama! Mfs be actually old and messy. I don’t like that,"[':cross_mark:', ':pouting_face:', ':persevering_face:']", 🌞 😴 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Allure is timeless,"[':fire:', ':cross_mark:', ':alarm_clock:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
New Jerseyans do NOT know how to make cakes.,"[':face_vomiting:', ':cross_mark:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
then you say,"[':man:', ':speech_balloon:']", 👉 😍 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 💬 👉 😍 👉 👉 🍳 👉
How can people even Compare Billie and Nirvana.,"[':thinking_face:', ':man:', ':woman:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
still working on my obliques but that’s been a process LMAO,"[':briefcase:', ':alarm_clock:', ':face_with_tears_of_joy:']", 😍 😴 👉 👉 💬 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
RTÉ hate the Dublin football team and you love to see it 😂😂😂,"[':pouting_face:', ':man:', ':smiling_face_with_heart-eyes:', ':eyes:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Just have to get it right once 🙏🏽,"[':folded_hands:', ':OK_hand:', ':persevering_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
How do you expect to see me happy when you stole my happiness away?,"[':pouting_face:', ':backhand_index_pointing_right:', ':grinning_face_with_smiling_eyes:', ':broken_heart:']", 😍 😴 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I don’t fuck with fashion nova you know,"[':face_with_tears_of_joy:', ':cross_mark:', ':person_facepalming:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"If you're on my new snapchat acc, Im deeply sorry😭","[':mobile_phone:', ':face_with_tears_of_joy:', ':crying_face:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
THIS IS MY HEADER WAIT OMF,[':face_with_tears_of_joy:'], 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
HELP,[':folded_hands:'], 🥰 🥰 😍 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i fell in love but its okay cause we in love✋😣,"[':red_heart:', ':smiling_face_with_hearts:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
A TWERK UNIT HAS SUCCESSFULLY MADE CHINA AND BRAZIL ITS OTP.,"[':thumbs_up:', ':fire:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
this could be a tweet,"[':backhand_index_pointing_right:', ':mobile_phone:', ':speech_balloon:']", 😍 😴 👉 👉 👋 👋 😍 😍 😍 😴 😴 😴 😴 😴 😴 😴 👋 😴 😴
Try making a violet carolingian work with bile!,[':briefcase:'], 😍 👉 🌞 😍 👉 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
my edit almost done! *snorts*,"[':grinning_face_with_smiling_eyes:', ':OK_hand:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
That eyebrow cut tho,"[':eyes:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"My birthday is in a week and a half, I better be getting carried out the club","[':party_popper:', ':calendar:', ':crying_face:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 👋 👋 😴 👋 😴 😴 😴 😴 😴 😴 😴
Short story,[':open_book:'], 📱 😴 🥰 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"New month, let’s go crazy","[':calendar:', ':grinning_face_with_smiling_eyes:', ':fire:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i’m so sorry :(,"[':crying_face:', ':persevering_face:', ':folded_hands:']", 😍 😴 😴 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
MARK'S REACTION LOL,"[':face_with_tears_of_joy:', ':grinning_face_with_smiling_eyes:', ':thumbs_up:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
THE SHOES omg i LOVE IT,"[':necktie:', ':face_with_tears_of_joy:', ':smiling_face_with_heart-eyes:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I want some hot ass chicken 😂😂,"[':smiling_face_with_heart-eyes:', ':fire:', ':cooking:']", 😍 😴 😍 😴 🥰 😴 🥰 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
If I’m motivated just go away leave me by my own ⛓,"[':person_running:', ':waving_hand:']", 😍 😴 🌞 👉 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"teach me how to be okay,i dont wanna downplay my emotions","[':persevering_face:', ':OK_hand:', ':crying_face:', ':broken_heart:']", 😍 👉 🌞 😍 👉 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i literally look so disgusting i wanna kill myself why do i loo liek this,"[':persevering_face:', ':face_vomiting:', ':skull:', ':thinking_face:', ':woman:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Nahh I hope KW rotts in hell, wtf is wrong with this man","[':folded_hands:', ':skull:', ':pouting_face:', ':man:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Boo, and I cannot stress this enough, fucking hoo.","[':persevering_face:', ':pouting_face:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
What's the point of paying for health insurance if you're still going to be in massive debt if you get sick? What is my money going to?,"[':thinking_face:', ':money_bag:', ':backhand_index_pointing_right:', ':person_facepalming:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Beautiful Mark jumps over Laura.,"[':man:', ':person_running:', ':woman:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
- these folks can only see me virtually .. 🤑‼️,"[':man:', ':eyes:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞
"sp's fanservice is just superior, literally the only thing i can thank them for aside from animation","[':thumbs_up:', ':speech_balloon:', ':folded_hands:', ':smiling_face_with_heart-eyes:']", 😍 😴 🌞 😴 👉 👋 👋 👋 👋 👋 👋 👋 😍 😍 🌞 😴 🌞 😴 😴
is there any updates on lewis?,"[':thinking_face:', ':speech_balloon:']", 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
oh mygod,"[':grinning_face_with_smiling_eyes:', ':fire:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i miss gfriend tonight,"[':smiling_face_with_heart-eyes:', ':woman:', ':first_quarter_moon_face:']", 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i don’t even know what was this supposed to prove like,"[':cross_mark:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Is working at the mall boring?\nYou kinda just watch tons of people walk by the store and hope for them to walk in yours.,"[':thinking_face:', ':eyes:', ':man:', ':person_running:', ':folded_hands:']", 😍 😴 🌞 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Sanchos mother watching him play this season at United.,"[':woman:', ':man:', ':woman:', ':boy:', ':eyes:', ':person_running:']", 😍 😴 🌞 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Take notes for how the cathedral operates and how effective its tactics are.,"[':open_book:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"All deez look good n all, but nobody trained to stick da landing?","[':man:', ':thumbs_up:', ':thinking_face:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 👋 👋 😴 😴 😴 😴 😴 😴 😴 😴
I love my bestfriend,"[':smiling_face_with_hearts:', ':red_heart:', ':woman:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"So if you can help me with my social media &amp; PR life or know someone, please drop a comment. I need to take it serious.","[':folded_hands:', ':mobile_phone:', ':speech_balloon:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"I fell down inside my room today, landed on my butt, nobody to tell me sorry 😭😭\nGod epp me say no be on top sharp objects 😳😂😂","[':persevering_face:', ':speech_balloon:', ':crying_face:', ':face_with_tears_of_joy:']", 😍 😴 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 😴
I knew what I was getting into. And I won't turn back now.,"[':thinking_face:', ':waving_hand:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
She pretty and she paid,"[':woman:', ':money_bag:']", 😍 😴 👉 👉 👉 👉 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
One Tweet,[':speech_balloon:'], 😍 😴 😍 😴 🥰 😴 🥰 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I really love how everyday there seems to be a new reaction image of Dante that I can use and Im just like yeessss brooo give me that shit,"[':red_heart:', ':mobile_phone:', ':grinning_face_with_smiling_eyes:', ':pile_of_poo:']", 😍 😴 🌞 🌞 🌞 👋 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Man off the match richard ofori,[':man:'], 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
saturday,[':calendar:'], 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
no one tell erica sullivan about rosmello,"[':cross_mark:', ':man:', ':speech_balloon:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞
I was cheking on my old @ and the typo and how young I was makes so embarrassing to see the dms like 13 years old me sucked,"[':mobile_phone:', ':face_with_tears_of_joy:', ':eyes:', ':person_facepalming:']", 😍 😴 😍 👋 🌞 😴 😴 👋 😴 👋 😴 👋 👋 😴 👋 👋 👋 👋 👋
weirdos,[':face_vomiting:'], 🌞 😴 😍 
Never tf again,[':persevering_face:'], 😍 🥰 👉 🥰 😴 🥰 🌞 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰
tteokminnie do u like aussies be honest,"[':thinking_face:', ':smiling_face_with_heart-eyes:']", 😍 😴 👉 👉 👉 💬 👉 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Tweetless today 🌚,"[':cross_mark:', ':mobile_phone:', ':speech_balloon:', ':calendar:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
the new season of obx is so good,"[':mobile_phone:', ':thumbs_up:', ':fire:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
my brother just punched a hole in my door😂😂👍,"[':man:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I CNAT TAKE THIS WTF,"[':face_vomiting:', ':cross_mark:', ':pile_of_poo:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I wasn’t meant to have a normal life or be close to ppl idk why,"[':crying_face:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Y'all mind if I crack an edgy joke?,"[':thinking_face:', ':grinning_face_with_smiling_eyes:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
LMAOOOOO no way 😭 why,"[':face_with_tears_of_joy:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
agreed but sadly now so many players are playing for the almighty dollar and not the love of the game,"[':thumbs_up:', ':person_running:', ':backhand_index_pointing_right:', ':money_bag:', ':thumbs_down:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
why he pop the suns like a perc then?,"[':sun_with_face:', ':thinking_face:']", 😍 😴 🌞 🌞 🌞 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴
Who wants to make eye contact,"[':thinking_face:', ':eyes:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
The tamale man outside and I don’t have NO cash 🥲,"[':man:', ':cross_mark:', ':money_bag:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Never,"[':cross_mark:', ':pouting_face:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I need the Best Actor oscar because of my perfect selection of 2-for-1 cocktails lads,"[':folded_hands:', ':face_with_tears_of_joy:', ':thumbs_up:']", 😍 😴 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"coughs. hello, I'm bisexual.","[':face_with_tears_of_joy:', ':waving_hand:', ':man:', ':woman:']", 😍 😴 👉 👉 💬 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
What a beautiful little girl.,"[':woman:', ':thumbs_up:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i want a physical book bc i really can’t push myself to read on my phone,"[':open_book:', ':person_facepalming:', ':eyes:']", 😍 😴 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
GOODMORNING day 2 here we go,"[':sun_with_face:', ':calendar:', ':person_running:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
You sure say she get danfo money for hand ni,"[':OK_hand:', ':woman:', ':money_bag:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’m so sick of myself,"[':persevering_face:', ':face_with_medical_mask:']", 😍 🥰 😴 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉
miipan is literally INSANE,"[':fire:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Hearing Hatikvah sung strikes pride in every Jewish heart.,"[':musical_note:', ':backhand_index_pointing_right:', ':red_heart:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Yeah right little things matter,"[':OK_hand:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Now playing Self Control by Laura Branigan!,"[':musical_note:', ':backhand_index_pointing_right:', ':woman:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’m so chill bruh,[':grinning_face_with_smiling_eyes:'], 😍 😴 😴 👉 💬 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Lizzy n Isaac surprised us at hard yesterday 🥺🥺🥺,"[':woman:', ':smiling_face_with_heart-eyes:', ':calendar:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Oh, what?",[':thinking_face:'], 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’ll never let go Jack!,"[':smiling_face_with_heart-eyes:', ':man:']", 😍 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
in heels up the stairs,"[':folded_hands:', ':person_running:']", 😍 😴 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
mO RAN STOP PLS,"[':person_running:', ':cross_mark:', ':folded_hands:']", 😍 😴 🌞 🌞 🌞 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴
"He's so brave, I'll be a very proud friend he'll have:&gt;","[':man:', ':thumbs_up:', ':smiling_face_with_heart-eyes:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Hot bitches sleep with makeup that magically disappears next morning,"[':fire:', ':woman:', ':cross_mark:', ':sun_with_face:']", 😍 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
omg  a,[':face_with_tears_of_joy:'], 😍 😴 😍 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
